candidate,family,deployable,split,slippage_bps,start,end,total_return_pct,cagr_pct,volatility_pct,sharpe,sortino,max_drawdown_pct,calmar,profit_factor,expectancy_trade_pct,win_rate_pct,avg_gain_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,entries,exits,entries_per_month,zero_entry_months,time_in_market_pct,average_gross_exposure_pct,annual_turnover_x,entry_signals,benchmark_return_pct,final_equity
baseline_rsi_cross_1,pullback,True,train,5.0,2020-01-02,2022-12-30,-0.7364201067587728,-0.2466917303823868,0.40055018400263287,-0.6131035813142949,-0.738899696237189,-0.9780960989184018,-0.2522162501774452,0.0,-2.0500060518705703,0.0,,-2.0500060518705703,-0.6127947027010303,-3.0258929112849264,3,3,0.08333333333333333,34,5.291005291005291,0.6381287646439786,0.23853991837322566,3,23.99457443201087,99263.57989324123
baseline_rsi_cross_1,pullback,True,validation,5.0,2023-01-03,2024-06-28,-0.40826881982032326,-0.2753073339181067,0.2540120925828565,-1.0839228044329052,-1.0828467405205349,-0.40826881982032326,-0.6743285809562137,0.0,-3.4022401651693595,0.0,,-3.4022401651693595,-3.4022401651693595,-3.4022401651693595,1,1,0.05555555555555555,17,0.267379679144385,0.03141719567472542,0.15901220692730156,1,44.651846208266456,99591.73118017967
baseline_rsi_cross_1,pullback,True,test,5.0,2024-07-01,2026-07-31,-0.14642945392295825,-0.07039817592975339,0.1404033703015952,-0.5021820500750478,-0.5386417311545374,-0.22039580997118557,-0.3194170340123853,0.0,-1.2202454493580415,0.0,,-1.2202454493580415,-1.2202454493580415,-1.2202454493580415,1,1,0.04,24,0.7648183556405354,0.09178530109881308,0.11467325617410291,1,40.15835193906074,99853.57054607704
baseline_rsi_cross_1,pullback,True,full,5.0,2020-01-02,2026-07-31,-1.2864400475883775,-0.19668849633702745,0.306841810134508,-0.6417594174100958,-0.7412789299714311,-1.527689097830487,-0.12874903448375077,0.0,-2.1545007540278225,0.0,,-2.1545007540278225,-0.6127947027010303,-3.402240165169359,5,5,0.06329113924050633,75,2.722323049001815,0.32799702947844794,0.18086459516517123,5,153.31637843336728,98713.55995241163
baseline_rsi_cross_1,pullback,True,full,10.0,2020-01-02,2026-07-31,-1.3444989423758824,-0.20561648288015544,0.30739005811307585,-0.6697871749399086,-0.7689664969949815,-1.5783779910533036,-0.13027074886094983,0.0,-2.2522974038472086,0.0,,-2.2522974038472086,-0.7121322888740256,-3.498789698512297,5,5,0.06329113924050633,75,2.722323049001815,0.3278529272566407,0.18079448449003524,5,153.31637843336728,98655.50105762412
baseline_rsi_cross_1,pullback,True,full,20.0,2020-01-02,2026-07-31,-1.4603611548019702,-0.2234464794303559,0.3089993877485055,-0.7242578018051145,-0.8222669790622056,-1.6819862205682101,-0.13284679547188621,0.0,-2.447597899145223,0.0,,-2.447597899145223,-0.9105100432973856,-3.691599694739057,5,5,0.06329113924050633,75,2.722323049001815,0.32756510233936725,0.18065443228792386,5,153.31637843336728,98539.63884519803
rsi_cross_3,pullback,True,train,5.0,2020-01-02,2022-12-30,1.1223406750492382,0.37365444793053815,3.15701215601226,0.13363884972514992,0.177590001319383,-4.3324765553035665,0.08624500171227288,1.2400731064263528,0.3488569036265358,33.33333333333333,4.889410358946705,-1.9214198240335492,9.293235014008381,-3.6571586275092596,24,24,0.6666666666666666,25,31.216931216931215,9.734435402068849,2.4131929382267425,27,23.99457443201087,101122.34067504924
rsi_cross_3,pullback,True,validation,5.0,2023-01-03,2024-06-28,-2.497103931469846,-1.689674812857589,1.1565392580435558,-1.4674394688814074,-1.5731422504706671,-2.5663605533502776,-0.6583933853923168,0.0,-1.8665366555872278,0.0,,-1.8665366555872278,-0.28844068531770367,-3.402240165169348,9,9,0.5,14,7.219251336898395,1.725782645345844,1.8037947514494617,9,44.651846208266456,97502.89606853016
rsi_cross_3,pullback,True,test,5.0,2024-07-01,2026-07-31,-1.4807082085143586,-0.714359265932385,1.5016373995962646,-0.47115930978979076,-0.5731900249717466,-2.754072797438789,-0.259382855310404,0.2605342055436488,-0.7622072040031332,23.076923076923077,1.1594318169659583,-1.3386989102938607,2.207917321458517,-2.5622752004279428,13,13,0.52,17,19.50286806883365,4.841180246664353,1.868428368992537,14,40.15835193906074,98519.29179148564
rsi_cross_3,pullback,True,full,5.0,2020-01-02,2026-07-31,-2.8627262621938043,-0.4406778517145882,2.360590035670852,-0.17575521299396296,-0.22747102632946928,-8.231102484912489,-0.05353813204517199,0.6879671408992336,-0.39858604054975943,23.91304347826087,3.8721434838610476,-1.740815319650299,9.293235014008381,-3.6571586275092596,46,46,0.5822784810126582,56,22.081064730792498,6.374236625728283,2.0989212681217673,50,153.31637843336728,97137.2737378062
rsi_cross_3,pullback,True,full,10.0,2020-01-02,2026-07-31,-3.5274430523899114,-0.5445752022973593,2.3583612587661746,-0.22032972320526562,-0.28436130515871433,-8.748661306514316,-0.062246689318269155,0.6349873012294119,-0.49813772844110815,21.73913043478261,4.147867076148158,-1.7886946186047936,9.183996343710191,-3.753453369658053,46,46,0.5822784810126582,56,22.081064730792498,6.372222563156615,2.0987792161131353,50,153.31637843336728,96472.5569476101
rsi_cross_3,pullback,True,full,20.0,2020-01-02,2026-07-31,-4.841778451477263,-0.7518095155543469,2.3553929063190004,-0.30941978833711886,-0.39724301362413617,-9.773885172478336,-0.07692023205585838,0.5465496071412431,-0.6969430452780344,19.565217391304348,4.3954124792899005,-1.9356241188215864,8.96584606500091,-3.945754546344418,46,46,0.5822784810126582,56,22.081064730792498,6.368198380407877,2.0984963261475307,50,153.31637843336728,95158.22154852274
rsi_cross_5,pullback,True,train,5.0,2020-01-02,2022-12-30,10.49626207092118,3.3915991222938757,4.371038919002591,0.7830388997921969,1.1451104734152864,-4.200884164039653,0.8073536402947248,2.3173920175411467,1.636667031884254,38.095238095238095,7.4354375639939265,-1.9318071417216982,28.086580929260712,-4.0877297976525995,42,42,1.1666666666666667,20,48.41269841269841,18.106667192603172,4.229879987171363,54,23.99457443201087,110496.26207092119
rsi_cross_5,pullback,True,validation,5.0,2023-01-03,2024-06-28,-3.607181606406229,-2.445335073399435,1.4164524089444697,-1.7404531615569245,-1.8907723424282692,-3.6756497365301066,-0.6652796780652676,0.0,-2.032543131799463,0.0,,-2.032543131799463,-0.28844068531770367,-3.4022401651693497,12,12,0.6666666666666666,13,9.090909090909092,2.6867117717505327,2.4026905410833472,13,44.651846208266456,96392.81839359377
rsi_cross_5,pullback,True,test,5.0,2024-07-01,2026-07-31,-1.2019015374224118,-0.5794265741969507,2.7746038573901677,-0.19611612512802234,-0.25230410962153393,-2.703818900425581,-0.2142993282966359,0.7472872140052643,-0.32098778010848655,29.166666666666668,3.4305993617244215,-1.865758956157331,13.693577865277518,-7.49940534484779,24,24,0.96,14,42.25621414913958,11.311296390952345,3.452066893686019,25,40.15835193906074,98798.09846257759
rsi_cross_5,pullback,True,full,5.0,2020-01-02,2026-07-31,5.23031035869661,0.7782206267405334,3.411999823185746,0.24484916856510827,0.3427150502910603,-6.902226345070694,0.11274921856138617,1.3073237929900168,0.46981783378129915,29.48717948717949,6.216573763303205,-1.933371009473317,28.086580929260712,-7.499405344847792,78,78,0.9873417721518988,47,37.56805807622505,12.467803153485042,3.5520322042790644,92,153.31637843336728,105230.31035869662
