trade_date,symbol,side,price,qty,value,pnl,return_pct,reason
2020-01-03,SPY,BUY,292.876365,51.216150541884794,15000.0,,,breakout_20
2020-01-03,QQQ,BUY,204.76233,73.25017039129654,14998.87556221889,,,breakout_20
2020-01-03,XLK,BUY,43.6218,343.8132128598194,14997.751208728469,,,breakout_20
2020-01-03,XLF,BUY,27.183585,551.6795131886547,14996.626939522417,,,breakout_20
2020-01-03,XLI,BUY,74.147055,202.24003171258005,14995.502754594416,,,breakout_20
2020-01-08,XLF,SELL,27.076455000000003,551.6795131886547,14937.525513274517,-59.101426247900235,-0.394098129440982,inverse_signal
2020-01-28,SPY,SELL,296.13186,51.216150541884794,15166.733922008352,166.73392200835224,1.1115594800556816,inverse_signal
2020-01-28,QQQ,SELL,210.60464500000003,73.25017039129654,15426.82613144852,427.9505692296316,2.8532176792479627,inverse_signal
2020-01-28,XLI,SELL,74.232865,202.24003171258005,15012.856971715675,17.354217121259353,0.11572947839939718,inverse_signal
2020-02-03,XLK,SELL,45.187395,343.8132128598194,15536.023455715738,538.2722469872697,3.589019710328327,inverse_signal
2020-02-05,QQQ,BUY,221.020455,68.60759303642186,15163.681429364791,,,breakout_20
2020-02-05,XLK,BUY,47.753865,317.5145032053734,15162.544721611468,,,breakout_20
2020-02-06,XLY,BUY,61.2306,247.14297021238926,15132.712351886723,,,breakout_20
2020-02-07,SPY,BUY,303.51168,49.80717194471753,15117.058432990085,,,breakout_20
2020-02-24,XLK,SELL,44.827575,317.5145032053734,14233.405206026617,-929.1395155848513,-6.127860017194415,inverse_signal
2020-02-25,SPY,SELL,295.11237,49.80717194471753,14698.712555603099,-418.3458773869861,-2.767376201139941,inverse_signal
2020-02-25,QQQ,SELL,214.05292,68.60759303642186,14685.655623617766,-478.0258057470255,-3.1524389903187915,inverse_signal
2020-02-25,XLY,SELL,60.019975,247.14297021238926,14833.514893573349,-299.1974583133742,-1.9771568464133977,inverse_signal
2020-04-09,XLV,BUY,86.093025,172.42947533566112,14844.975130809957,,,breakout_20
2020-04-15,QQQ,BUY,200.570235,74.08567361385262,14859.380966863719,,,breakout_20
2020-04-15,XLK,BUY,41.550765,357.5931049702579,14858.267070239517,,,breakout_20
2020-04-22,XLK,SELL,41.029475,357.5931049702579,14671.857360549571,-186.40970968994588,-1.2545858060615742,inverse_signal
2020-04-30,XLK,BUY,43.84191,343.17903740215496,15045.624471671912,,,breakout_20
2020-05-19,XLY,BUY,56.878425,268.018106087157,15244.447745720401,,,breakout_20
2020-06-12,XLV,SELL,89.47524,172.42947533566112,15428.16868873236,583.1935579224028,3.9285586724360053,inverse_signal
2020-06-12,XLY,SELL,60.549710000000005,268.018106087157,16228.41859832659,983.9708526061895,6.454617897735399,inverse_signal
2020-07-13,XLY,BUY,64.11204,251.15995908957632,16102.377343549279,,,breakout_20
2020-07-15,XLV,BUY,94.52723999999999,169.55512251361907,16027.577759074271,,,breakout_20
2020-07-27,QQQ,SELL,247.77605000000003,74.08567361385262,18356.65556962963,3497.2746027659123,23.535802807430553,inverse_signal
2020-07-27,XLK,SELL,50.51473,343.17903740215496,17335.59641602976,2289.971944357847,15.220185434439323,inverse_signal
2020-08-03,XLK,BUY,53.476725,299.57154706812815,16020.105240386845,,,breakout_20
2020-08-04,SPY,BUY,302.06095500000004,53.05720191507445,16026.50908009522,,,breakout_20
2020-09-04,XLV,SELL,96.96149500000001,169.55512251361907,16440.318163828666,412.74040475439506,2.5751889085093684,inverse_signal
2020-09-08,SPY,SELL,309.90497,53.05720191507445,16442.69056777509,416.18148767987077,2.596831821577192,inverse_signal
2020-09-08,XLK,SELL,54.23287,299.57154706812815,16246.624767844674,226.5195274578291,1.4139702833335397,inverse_signal
2020-09-09,XLY,SELL,69.80508,251.15995908957632,17532.2410370446,1429.8636934953229,8.879829748047333,inverse_signal
2020-10-06,IWM,BUY,148.043985,110.05493458590993,16292.97108501243,,,breakout_20
2020-10-06,XLY,BUY,71.8359,226.79119664209858,16291.749722862129,,,breakout_20
2020-10-08,XLV,BUY,98.03899499999999,166.90655547102708,16363.350957291244,,,breakout_20
2020-10-09,SPY,BUY,319.649745,51.34366886391195,16411.990659713894,,,breakout_20
2020-10-20,XLV,SELL,97.12141500000001,166.90655547102708,16210.200840122143,-153.15011716910158,-0.935933706786753,inverse_signal
2020-10-27,SPY,SELL,313.96294,51.34366886391195,16120.009226900256,-291.9814328136381,-1.779073842214386,inverse_signal
2020-10-27,XLY,SELL,71.80408000000001,226.79119664209858,16284.53322698498,-7.216495877148191,-0.04429540104597433,inverse_signal
2020-10-28,IWM,SELL,144.317805,110.05493458590993,15882.886588857105,-410.0844961553248,-2.516941164478915,inverse_signal
2020-11-05,XLV,BUY,101.40067499999999,159.40333931416285,16163.60620371015,,,breakout_20
2020-11-06,IWM,BUY,154.707315,104.30541246945734,16136.810303117263,,,breakout_20
2020-11-10,SPY,BUY,326.98341,49.695310614337814,16249.542125685373,,,breakout_20
2020-11-10,XLF,BUY,24.47223,663.9494651316717,16248.32401907925,,,breakout_20
2020-11-23,XLV,SELL,99.63016000000002,159.40333931416285,15881.380200404337,-282.2260033058119,-1.7460583965540468,inverse_signal
2020-11-24,XLE,BUY,15.977985,1034.2298816893087,16524.90953618355,,,breakout_20
2020-12-01,XLE,SELL,15.212390000000001,1034.2298816893087,15733.108309911624,-791.8012262719258,-4.79156163934313,stop_loss
2020-12-02,QQQ,BUY,291.68577,56.3131212313838,16425.736127479533,,,breakout_20
2021-01-07,QQQ,SELL,299.71007000000003,56.3131212313838,16877.609506176526,451.8733786969933,2.751008388239167,inverse_signal
