oos_year,selected_on_prior_data,candidate,family,deployable,split,slippage_bps,start,end,total_return_pct,cagr_pct,volatility_pct,sharpe,sortino,max_drawdown_pct,calmar,profit_factor,expectancy_trade_pct,win_rate_pct,avg_gain_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,entries,exits,entries_per_month,zero_entry_months,time_in_market_pct,average_gross_exposure_pct,annual_turnover_x,entry_signals,benchmark_return_pct,final_equity
2022,pullback_below_ema20,pullback_below_ema20,pullback,True,wf_oos,5.0,2022-01-03,2022-12-30,-9.422664435739625,-9.527949894814059,6.005809912802912,-1.6240936736287261,-1.9776232008977483,-10.308855585893062,-0.9242490415572784,0.2991665622099298,-2.3931121029449423,17.857142857142858,5.938180515930325,-4.204262672265652,15.401244117248295,-9.891786895350453,32,28,2.6666666666666665,4,62.54980079681275,18.1045578266363,9.162445576395426,37,-18.40496273485963,90577.33556426037
2023,simple_trend,simple_trend,trend,True,wf_oos,5.0,2023-01-03,2023-12-29,6.314197085516793,6.409033581281154,8.825905658050523,0.7433279743969818,1.0845913397274232,-7.007385332259963,0.9146112675973203,1.307782218191821,0.4788924919605297,41.86046511627907,4.302756044301029,-2.2742892657246294,23.90003077651243,-7.699002994436732,47,43,3.9166666666666665,1,99.2,59.737893575294464,13.60631706751574,643,25.539441103643433,106314.19708551679
2024,breakout_20,breakout_20,breakout,True,wf_oos,5.0,2024-01-02,2024-12-31,1.7847173051950271,1.7908635971440434,5.454405259004988,0.35155958014144495,0.4626212914017956,-5.910394789874629,0.3030023646156522,1.3039529682403983,0.32829421773067213,50.0,2.629091503426136,-1.9725030679647917,10.53253953099114,-5.877927419670711,38,38,3.1666666666666665,1,85.31746031746032,41.32304138544721,11.44135663464995,121,25.720582138727078,101784.71730519504
2025,pullback_below_ema20,pullback_below_ema20,pullback,True,wf_oos,5.0,2025-01-02,2025-12-31,1.5116899507696457,1.521099366028289,7.821925850835833,0.23238180229701122,0.31236496694799004,-8.200620243169254,0.1854858926427298,0.9231724689060619,-0.06906476523022793,45.45454545454545,2.8598981932732532,-2.509867230649795,8.390818923845579,-8.467252733361292,37,33,3.0833333333333335,4,80.80000000000001,44.734293452444156,10.649600433061824,152,17.05784895761424,101511.68995076965
2026,pullback_below_ema20,pullback_below_ema20,pullback,True,wf_oos,5.0,2026-01-02,2026-07-31,-1.3124504178645413,-2.2715930962365793,9.646566144692537,-0.19015312528810174,-0.27500355341794547,-6.243505091232649,-0.3638329853252512,0.8283212846188853,-0.2072968935440739,45.16129032258064,2.282472103117208,-2.257694890794541,17.96682166703799,-6.1578004700851,35,31,5.0,0,99.3103448275862,57.28237758682009,17.164251852470354,82,9.527160765339794,98687.54958213546
