candidate,family,deployable,split,slippage_bps,start,end,total_return_pct,cagr_pct,volatility_pct,sharpe,sortino,max_drawdown_pct,calmar,profit_factor,expectancy_trade_pct,win_rate_pct,avg_gain_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,entries,exits,entries_per_month,zero_entry_months,time_in_market_pct,average_gross_exposure_pct,annual_turnover_x,entry_signals,benchmark_return_pct,final_equity,selection_score
breakout_20,breakout,True,full,5.0,2020-01-02,2026-07-31,33.31849337174402,4.469746667390928,6.4328950095626976,0.7138078962454631,0.9534396292453746,-9.000846730141332,0.496591798683005,1.603954255401298,0.8636857610841503,42.592592592592595,5.169060701506855,-2.3306246785843068,30.52835119272061,-10.410632846750943,219,216,2.7721518987341773,12,80.09679370840895,36.6482323693464,10.00238294474235,649,153.31637843336728,133318.49337174403,1.8570347207179507
breakout_50,breakout,True,full,5.0,2020-01-02,2026-07-31,31.14919395657141,4.2094648158802705,6.030040367184087,0.715837848275221,0.9621163496424999,-7.846843541251925,0.5364532622258289,1.7278400567164325,0.9726747448121378,43.71584699453552,5.180905917060123,-2.295854321011541,25.949134984341242,-6.30876020016501,185,183,2.3417721518987342,18,73.26073805202662,32.22218254443161,8.438856683114775,469,153.31637843336728,131149.1939565714,1.4466001292734776
mean_reversion_bbands,mean_reversion,True,full,5.0,2020-01-02,2026-07-31,21.71074126605237,3.0326604380695787,4.9811034703316475,0.626298979224418,0.8983516009736001,-7.219232705452749,0.4200807151955337,1.9472348909803405,0.876710645860217,75.6578947368421,2.3304251587297706,-3.641591218464071,8.739793929714814,-9.494468814759765,157,152,1.9873417721518987,29,32.78886872353297,10.738442473146112,7.09017592494886,196,153.31637843336728,121710.74126605237,1.4449005606438643
pullback_below_ema20,pullback,True,full,5.0,2020-01-02,2026-07-31,46.452612263433934,5.973070221295296,8.609372715733397,0.7187320185942085,1.019019911083821,-15.298705708394667,0.3904297745931388,1.8129492898976283,1.1407248206809253,47.5206611570248,5.164404464644726,-2.5027646207036183,42.81046438735647,-11.418674899003696,246,242,3.1139240506329116,24,87.17483363581367,48.06797220346227,11.143856236532251,1059,153.31637843336728,146452.61226343393,1.4237300771541268
simple_trend,trend,True,full,5.0,2020-01-02,2026-07-31,57.79434012127034,7.181867084187377,9.723150884952148,0.7639464509586742,1.0577376981539302,-14.040608115240783,0.5115068396782338,1.8634338677970372,1.3398281922077586,48.34710743801653,5.797907052593065,-2.8329336211128875,30.721116467993603,-11.450377013178624,247,242,3.1265822784810124,17,94.97882637628554,56.13341516182406,11.13750594619681,4417,153.31637843336728,157794.34012127033,1.3863068593900953
mean_reversion_rsi_35,mean_reversion,True,full,5.0,2020-01-02,2026-07-31,10.088437247829706,1.4722163397439703,5.045250306916118,0.315746062146054,0.4235800440844705,-8.01594748258012,0.18366092629016362,1.3496760871401252,0.8194718843429262,66.66666666666666,4.3631151977541425,-6.267814742479506,9.434484712041378,-13.200615261231643,83,81,1.0506329113924051,47,33.03085299455535,10.639720856094138,3.7835820244773677,94,153.31637843336728,110088.43724782972,1.2234859045699353
pullback_reclaim_ema20,pullback,True,full,5.0,2020-01-02,2026-07-31,17.306087476729147,2.456784208461804,6.911228571402026,0.38666433232682246,0.5360985938110423,-10.516773434499694,0.23360626942884016,1.3363060255241257,0.5876534728263522,34.23913043478261,6.112298276145222,-2.288814482620662,39.678273174134745,-7.4994053448477995,185,184,2.3417721518987342,21,77.43496672716273,38.51182617926478,8.423669993921864,629,153.31637843336728,117306.08747672914,1.0172378798279533
rsi_zone_40_55,pullback,True,full,5.0,2020-01-02,2026-07-31,10.997271807328278,1.599151972156454,7.083996434855087,0.260001750718138,0.3514526104234509,-11.211391317412422,0.14263635323055843,1.2004038081294583,0.36342583163209374,29.906542056074763,6.050524839637172,-2.06306974511674,30.789885076446144,-7.4994053448477915,215,214,2.721518987341772,19,79.97580157289777,38.53303021111705,9.8048472205189,602,153.31637843336728,110997.27180732829,0.7425552592139876
relative_momentum_126,relative_momentum,False,full,5.0,2020-01-02,2026-07-31,27.432369688026338,3.7548946718261256,9.39231367911488,0.44055472894331177,0.594571252497275,-17.105499820482038,0.21951388215678055,1.3909835726964555,1.652403641736827,44.44444444444444,11.544996091620543,-6.261670318170145,49.069381312795514,-18.56046626453283,93,90,1.1772151898734178,21,93.22444041137327,52.18902905016034,4.195124898654691,95,153.31637843336728,127432.36968802635,0.6650748898562208
rsi_cross_5,pullback,True,full,5.0,2020-01-02,2026-07-31,5.23031035869661,0.7782206267405334,3.411999823185746,0.24484916856510827,0.3427150502910603,-6.902226345070694,0.11274921856138617,1.3073237929900168,0.46981783378129915,29.48717948717949,6.216573763303205,-1.933371009473317,28.086580929260712,-7.499405344847792,78,78,0.9873417721518988,47,37.56805807622505,12.467803153485042,3.5520322042790644,92,153.31637843336728,105230.31035869662,-1.3103298079547288
rsi_cross_3,pullback,True,full,5.0,2020-01-02,2026-07-31,-2.8627262621938043,-0.4406778517145882,2.360590035670852,-0.17575521299396296,-0.22747102632946928,-8.231102484912489,-0.05353813204517199,0.6879671408992336,-0.39858604054975943,23.91304347826087,3.8721434838610476,-1.740815319650299,9.293235014008381,-3.6571586275092596,46,46,0.5822784810126582,56,22.081064730792498,6.374236625728283,2.0989212681217673,50,153.31637843336728,97137.2737378062,-1.5106432357376638
baseline_rsi_cross_1,pullback,True,full,5.0,2020-01-02,2026-07-31,-1.2864400475883775,-0.19668849633702745,0.306841810134508,-0.6417594174100958,-0.7412789299714311,-1.527689097830487,-0.12874903448375077,0.0,-2.1545007540278225,0.0,,-2.1545007540278225,-0.6127947027010303,-3.402240165169359,5,5,0.06329113924050633,75,2.722323049001815,0.32799702947844794,0.18086459516517123,5,153.31637843336728,98713.55995241163,-1.6943071836927424
