candidate,family,deployable,split,slippage_bps,start,end,total_return_pct,cagr_pct,volatility_pct,sharpe,sortino,max_drawdown_pct,calmar,profit_factor,expectancy_trade_pct,win_rate_pct,avg_gain_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,entries,exits,entries_per_month,zero_entry_months,time_in_market_pct,average_gross_exposure_pct,annual_turnover_x,entry_signals,benchmark_return_pct,final_equity,lookback,stop,trail
breakout_15_sl6_tr9,breakout_sensitivity,True,train,5.0,2020-01-02,2022-12-30,8.181275822673584,2.662643050629132,7.019732502034313,0.4086398572878189,0.5256137911806059,-8.896950515952451,0.2992759199744843,1.327368242356636,0.5740480262357605,42.857142857142854,4.9342491603491885,-2.6961028243493104,25.949134984341228,-6.308760200165008,98,98,2.7222222222222223,5,78.70370370370371,35.26424249223947,9.882066420874557,307,23.99457443201087,108181.27582267358,15,6.0,9.0
breakout_15_sl6_tr9,breakout_sensitivity,True,validation,5.0,2023-01-03,2024-06-28,11.869562389219768,7.851443031760685,5.804361951341627,1.3311845103835218,2.0052869982631267,-3.8704289549900017,2.0285717999391535,2.7885327446524246,1.4204600635774007,47.91666666666667,4.645610671101394,-1.5466784953446717,14.241130756297334,-3.009266548866591,52,48,2.888888888888889,3,80.21390374331551,40.13626570931882,10.053401153399783,195,44.651846208266456,111869.56238921978,15,6.0,9.0
breakout_15_sl6_tr9,breakout_sensitivity,True,test,5.0,2024-07-01,2026-07-31,6.818693828938582,3.22083448876771,6.547533174201312,0.5182373834722512,0.6839655407657602,-9.294172676800038,0.34654343111221764,1.242350497931721,0.37826330532890096,31.11111111111111,5.8059684166360475,-2.0729583578420687,30.52835119272061,-8.78395346130839,93,90,3.72,2,86.61567877629062,40.828485182287565,13.180303768536833,219,40.15835193906074,106818.69382893859,15,6.0,9.0
breakout_15_sl6_tr9,breakout_sensitivity,True,full,5.0,2020-01-02,2026-07-31,31.235850719816494,4.219932019597739,6.62098807000694,0.6591325307649701,0.8764449186302721,-9.340692442154364,0.45177935637333133,1.5376925283059106,0.7488999761362584,40.67796610169492,5.075338533283627,-2.2178007487647946,30.52835119272061,-8.78395346130839,239,236,3.0253164556962027,10,81.66969147005445,38.24536398717122,10.893170208425335,717,153.31637843336728,131235.8507198165,15,6.0,9.0
breakout_15_sl6_tr10,breakout_sensitivity,True,train,5.0,2020-01-02,2022-12-30,8.181275822673584,2.662643050629132,7.019732502034313,0.4086398572878189,0.5256137911806059,-8.896950515952451,0.2992759199744843,1.327368242356636,0.5740480262357605,42.857142857142854,4.9342491603491885,-2.6961028243493104,25.949134984341228,-6.308760200165008,98,98,2.7222222222222223,5,78.70370370370371,35.26424249223947,9.882066420874557,307,23.99457443201087,108181.27582267358,15,6.0,10.0
breakout_15_sl6_tr10,breakout_sensitivity,True,validation,5.0,2023-01-03,2024-06-28,11.869562389219768,7.851443031760685,5.804361951341627,1.3311845103835218,2.0052869982631267,-3.8704289549900017,2.0285717999391535,2.7885327446524246,1.4204600635774007,47.91666666666667,4.645610671101394,-1.5466784953446717,14.241130756297334,-3.009266548866591,52,48,2.888888888888889,3,80.21390374331551,40.13626570931882,10.053401153399783,195,44.651846208266456,111869.56238921978,15,6.0,10.0
breakout_15_sl6_tr10,breakout_sensitivity,True,test,5.0,2024-07-01,2026-07-31,6.818693828938582,3.22083448876771,6.547533174201312,0.5182373834722512,0.6839655407657602,-9.294172676800038,0.34654343111221764,1.242350497931721,0.37826330532890096,31.11111111111111,5.8059684166360475,-2.0729583578420687,30.52835119272061,-8.78395346130839,93,90,3.72,2,86.61567877629062,40.828485182287565,13.180303768536833,219,40.15835193906074,106818.69382893859,15,6.0,10.0
breakout_15_sl6_tr10,breakout_sensitivity,True,full,5.0,2020-01-02,2026-07-31,31.235850719816494,4.219932019597739,6.62098807000694,0.6591325307649701,0.8764449186302721,-9.340692442154364,0.45177935637333133,1.5376925283059106,0.7488999761362584,40.67796610169492,5.075338533283627,-2.2178007487647946,30.52835119272061,-8.78395346130839,239,236,3.0253164556962027,10,81.66969147005445,38.24536398717122,10.893170208425335,717,153.31637843336728,131235.8507198165,15,6.0,10.0
breakout_15_sl6_tr11,breakout_sensitivity,True,train,5.0,2020-01-02,2022-12-30,8.181275822673584,2.662643050629132,7.019732502034313,0.4086398572878189,0.5256137911806059,-8.896950515952451,0.2992759199744843,1.327368242356636,0.5740480262357605,42.857142857142854,4.9342491603491885,-2.6961028243493104,25.949134984341228,-6.308760200165008,98,98,2.7222222222222223,5,78.70370370370371,35.26424249223947,9.882066420874557,307,23.99457443201087,108181.27582267358,15,6.0,11.0
breakout_15_sl6_tr11,breakout_sensitivity,True,validation,5.0,2023-01-03,2024-06-28,11.869562389219768,7.851443031760685,5.804361951341627,1.3311845103835218,2.0052869982631267,-3.8704289549900017,2.0285717999391535,2.7885327446524246,1.4204600635774007,47.91666666666667,4.645610671101394,-1.5466784953446717,14.241130756297334,-3.009266548866591,52,48,2.888888888888889,3,80.21390374331551,40.13626570931882,10.053401153399783,195,44.651846208266456,111869.56238921978,15,6.0,11.0
breakout_15_sl6_tr11,breakout_sensitivity,True,test,5.0,2024-07-01,2026-07-31,6.818693828938582,3.22083448876771,6.547533174201312,0.5182373834722512,0.6839655407657602,-9.294172676800038,0.34654343111221764,1.242350497931721,0.37826330532890096,31.11111111111111,5.8059684166360475,-2.0729583578420687,30.52835119272061,-8.78395346130839,93,90,3.72,2,86.61567877629062,40.828485182287565,13.180303768536833,219,40.15835193906074,106818.69382893859,15,6.0,11.0
breakout_15_sl6_tr11,breakout_sensitivity,True,full,5.0,2020-01-02,2026-07-31,31.235850719816494,4.219932019597739,6.62098807000694,0.6591325307649701,0.8764449186302721,-9.340692442154364,0.45177935637333133,1.5376925283059106,0.7488999761362584,40.67796610169492,5.075338533283627,-2.2178007487647946,30.52835119272061,-8.78395346130839,239,236,3.0253164556962027,10,81.66969147005445,38.24536398717122,10.893170208425335,717,153.31637843336728,131235.8507198165,15,6.0,11.0
breakout_15_sl7_tr9,breakout_sensitivity,True,train,5.0,2020-01-02,2022-12-30,8.181275822673584,2.662643050629132,7.019732502034313,0.4086398572878189,0.5256137911806059,-8.896950515952451,0.2992759199744843,1.327368242356636,0.5740480262357605,42.857142857142854,4.9342491603491885,-2.6961028243493104,25.949134984341228,-6.308760200165008,98,98,2.7222222222222223,5,78.70370370370371,35.26424249223947,9.882066420874557,307,23.99457443201087,108181.27582267358,15,7.0,9.0
breakout_15_sl7_tr9,breakout_sensitivity,True,validation,5.0,2023-01-03,2024-06-28,11.869562389219768,7.851443031760685,5.804361951341627,1.3311845103835218,2.0052869982631267,-3.8704289549900017,2.0285717999391535,2.7885327446524246,1.4204600635774007,47.91666666666667,4.645610671101394,-1.5466784953446717,14.241130756297334,-3.009266548866591,52,48,2.888888888888889,3,80.21390374331551,40.13626570931882,10.053401153399783,195,44.651846208266456,111869.56238921978,15,7.0,9.0
breakout_15_sl7_tr9,breakout_sensitivity,True,test,5.0,2024-07-01,2026-07-31,6.818693828938582,3.22083448876771,6.547533174201312,0.5182373834722512,0.6839655407657602,-9.294172676800038,0.34654343111221764,1.242350497931721,0.37826330532890096,31.11111111111111,5.8059684166360475,-2.0729583578420687,30.52835119272061,-8.78395346130839,93,90,3.72,2,86.61567877629062,40.828485182287565,13.180303768536833,219,40.15835193906074,106818.69382893859,15,7.0,9.0
breakout_15_sl7_tr9,breakout_sensitivity,True,full,5.0,2020-01-02,2026-07-31,31.235850719816494,4.219932019597739,6.62098807000694,0.6591325307649701,0.8764449186302721,-9.340692442154364,0.45177935637333133,1.5376925283059106,0.7488999761362584,40.67796610169492,5.075338533283627,-2.2178007487647946,30.52835119272061,-8.78395346130839,239,236,3.0253164556962027,10,81.66969147005445,38.24536398717122,10.893170208425335,717,153.31637843336728,131235.8507198165,15,7.0,9.0
breakout_15_sl7_tr10,breakout_sensitivity,True,train,5.0,2020-01-02,2022-12-30,8.181275822673584,2.662643050629132,7.019732502034313,0.4086398572878189,0.5256137911806059,-8.896950515952451,0.2992759199744843,1.327368242356636,0.5740480262357605,42.857142857142854,4.9342491603491885,-2.6961028243493104,25.949134984341228,-6.308760200165008,98,98,2.7222222222222223,5,78.70370370370371,35.26424249223947,9.882066420874557,307,23.99457443201087,108181.27582267358,15,7.0,10.0
breakout_15_sl7_tr10,breakout_sensitivity,True,validation,5.0,2023-01-03,2024-06-28,11.869562389219768,7.851443031760685,5.804361951341627,1.3311845103835218,2.0052869982631267,-3.8704289549900017,2.0285717999391535,2.7885327446524246,1.4204600635774007,47.91666666666667,4.645610671101394,-1.5466784953446717,14.241130756297334,-3.009266548866591,52,48,2.888888888888889,3,80.21390374331551,40.13626570931882,10.053401153399783,195,44.651846208266456,111869.56238921978,15,7.0,10.0
breakout_15_sl7_tr10,breakout_sensitivity,True,test,5.0,2024-07-01,2026-07-31,6.818693828938582,3.22083448876771,6.547533174201312,0.5182373834722512,0.6839655407657602,-9.294172676800038,0.34654343111221764,1.242350497931721,0.37826330532890096,31.11111111111111,5.8059684166360475,-2.0729583578420687,30.52835119272061,-8.78395346130839,93,90,3.72,2,86.61567877629062,40.828485182287565,13.180303768536833,219,40.15835193906074,106818.69382893859,15,7.0,10.0
breakout_15_sl7_tr10,breakout_sensitivity,True,full,5.0,2020-01-02,2026-07-31,31.235850719816494,4.219932019597739,6.62098807000694,0.6591325307649701,0.8764449186302721,-9.340692442154364,0.45177935637333133,1.5376925283059106,0.7488999761362584,40.67796610169492,5.075338533283627,-2.2178007487647946,30.52835119272061,-8.78395346130839,239,236,3.0253164556962027,10,81.66969147005445,38.24536398717122,10.893170208425335,717,153.31637843336728,131235.8507198165,15,7.0,10.0
breakout_15_sl7_tr11,breakout_sensitivity,True,train,5.0,2020-01-02,2022-12-30,8.181275822673584,2.662643050629132,7.019732502034313,0.4086398572878189,0.5256137911806059,-8.896950515952451,0.2992759199744843,1.327368242356636,0.5740480262357605,42.857142857142854,4.9342491603491885,-2.6961028243493104,25.949134984341228,-6.308760200165008,98,98,2.7222222222222223,5,78.70370370370371,35.26424249223947,9.882066420874557,307,23.99457443201087,108181.27582267358,15,7.0,11.0
breakout_15_sl7_tr11,breakout_sensitivity,True,validation,5.0,2023-01-03,2024-06-28,11.869562389219768,7.851443031760685,5.804361951341627,1.3311845103835218,2.0052869982631267,-3.8704289549900017,2.0285717999391535,2.7885327446524246,1.4204600635774007,47.91666666666667,4.645610671101394,-1.5466784953446717,14.241130756297334,-3.009266548866591,52,48,2.888888888888889,3,80.21390374331551,40.13626570931882,10.053401153399783,195,44.651846208266456,111869.56238921978,15,7.0,11.0
breakout_15_sl7_tr11,breakout_sensitivity,True,test,5.0,2024-07-01,2026-07-31,6.818693828938582,3.22083448876771,6.547533174201312,0.5182373834722512,0.6839655407657602,-9.294172676800038,0.34654343111221764,1.242350497931721,0.37826330532890096,31.11111111111111,5.8059684166360475,-2.0729583578420687,30.52835119272061,-8.78395346130839,93,90,3.72,2,86.61567877629062,40.828485182287565,13.180303768536833,219,40.15835193906074,106818.69382893859,15,7.0,11.0
breakout_15_sl7_tr11,breakout_sensitivity,True,full,5.0,2020-01-02,2026-07-31,31.235850719816494,4.219932019597739,6.62098807000694,0.6591325307649701,0.8764449186302721,-9.340692442154364,0.45177935637333133,1.5376925283059106,0.7488999761362584,40.67796610169492,5.075338533283627,-2.2178007487647946,30.52835119272061,-8.78395346130839,239,236,3.0253164556962027,10,81.66969147005445,38.24536398717122,10.893170208425335,717,153.31637843336728,131235.8507198165,15,7.0,11.0
breakout_15_sl8_tr9,breakout_sensitivity,True,train,5.0,2020-01-02,2022-12-30,8.181275822673584,2.662643050629132,7.019732502034313,0.4086398572878189,0.5256137911806059,-8.896950515952451,0.2992759199744843,1.327368242356636,0.5740480262357605,42.857142857142854,4.9342491603491885,-2.6961028243493104,25.949134984341228,-6.308760200165008,98,98,2.7222222222222223,5,78.70370370370371,35.26424249223947,9.882066420874557,307,23.99457443201087,108181.27582267358,15,8.0,9.0
breakout_15_sl8_tr9,breakout_sensitivity,True,validation,5.0,2023-01-03,2024-06-28,11.869562389219768,7.851443031760685,5.804361951341627,1.3311845103835218,2.0052869982631267,-3.8704289549900017,2.0285717999391535,2.7885327446524246,1.4204600635774007,47.91666666666667,4.645610671101394,-1.5466784953446717,14.241130756297334,-3.009266548866591,52,48,2.888888888888889,3,80.21390374331551,40.13626570931882,10.053401153399783,195,44.651846208266456,111869.56238921978,15,8.0,9.0
breakout_15_sl8_tr9,breakout_sensitivity,True,test,5.0,2024-07-01,2026-07-31,6.818693828938582,3.22083448876771,6.547533174201312,0.5182373834722512,0.6839655407657602,-9.294172676800038,0.34654343111221764,1.242350497931721,0.37826330532890096,31.11111111111111,5.8059684166360475,-2.0729583578420687,30.52835119272061,-8.78395346130839,93,90,3.72,2,86.61567877629062,40.828485182287565,13.180303768536833,219,40.15835193906074,106818.69382893859,15,8.0,9.0
breakout_15_sl8_tr9,breakout_sensitivity,True,full,5.0,2020-01-02,2026-07-31,31.235850719816494,4.219932019597739,6.62098807000694,0.6591325307649701,0.8764449186302721,-9.340692442154364,0.45177935637333133,1.5376925283059106,0.7488999761362584,40.67796610169492,5.075338533283627,-2.2178007487647946,30.52835119272061,-8.78395346130839,239,236,3.0253164556962027,10,81.66969147005445,38.24536398717122,10.893170208425335,717,153.31637843336728,131235.8507198165,15,8.0,9.0
breakout_15_sl8_tr10,breakout_sensitivity,True,train,5.0,2020-01-02,2022-12-30,8.035605785969956,2.616427672958266,7.065277795354421,0.40009693236669774,0.5175679331702571,-8.89695051595243,0.29408140106736047,1.3229665030808293,0.5650055091456189,41.83673469387755,5.019890187228189,-2.6393852242120195,25.949134984341228,-6.3087602001650005,98,98,2.7222222222222223,5,78.70370370370371,35.312551607981284,9.881369821592926,310,23.99457443201087,108035.60578596995,15,8.0,10.0
breakout_15_sl8_tr10,breakout_sensitivity,True,validation,5.0,2023-01-03,2024-06-28,11.869562389219768,7.851443031760685,5.804361951341627,1.3311845103835218,2.0052869982631267,-3.8704289549900017,2.0285717999391535,2.7885327446524246,1.4204600635774007,47.91666666666667,4.645610671101394,-1.5466784953446717,14.241130756297334,-3.009266548866591,52,48,2.888888888888889,3,80.21390374331551,40.13626570931882,10.053401153399783,195,44.651846208266456,111869.56238921978,15,8.0,10.0
breakout_15_sl8_tr10,breakout_sensitivity,True,test,5.0,2024-07-01,2026-07-31,6.818693828938582,3.22083448876771,6.547533174201312,0.5182373834722512,0.6839655407657602,-9.294172676800038,0.34654343111221764,1.242350497931721,0.37826330532890096,31.11111111111111,5.8059684166360475,-2.0729583578420687,30.52835119272061,-8.78395346130839,93,90,3.72,2,86.61567877629062,40.828485182287565,13.180303768536833,219,40.15835193906074,106818.69382893859,15,8.0,10.0
breakout_15_sl8_tr10,breakout_sensitivity,True,full,5.0,2020-01-02,2026-07-31,31.05913685648103,4.198580672019525,6.643108736755339,0.654063634159436,0.8722433381480837,-9.340692442154364,0.44949351432142354,1.5359205548618982,0.745145032598827,40.25423728813559,5.113784548809665,-2.19826457052195,30.52835119272059,-8.783953461308396,239,236,3.0253164556962027,10,81.66969147005445,38.26745817440704,10.892600790407483,720,153.31637843336728,131059.13685648103,15,8.0,10.0
breakout_15_sl8_tr11,breakout_sensitivity,True,train,5.0,2020-01-02,2022-12-30,8.035605785969956,2.616427672958266,7.065277795354421,0.40009693236669774,0.5175679331702571,-8.89695051595243,0.29408140106736047,1.3229665030808293,0.5650055091456189,41.83673469387755,5.019890187228189,-2.6393852242120195,25.949134984341228,-6.3087602001650005,98,98,2.7222222222222223,5,78.70370370370371,35.312551607981284,9.881369821592926,310,23.99457443201087,108035.60578596995,15,8.0,11.0
breakout_15_sl8_tr11,breakout_sensitivity,True,validation,5.0,2023-01-03,2024-06-28,11.869562389219768,7.851443031760685,5.804361951341627,1.3311845103835218,2.0052869982631267,-3.8704289549900017,2.0285717999391535,2.7885327446524246,1.4204600635774007,47.91666666666667,4.645610671101394,-1.5466784953446717,14.241130756297334,-3.009266548866591,52,48,2.888888888888889,3,80.21390374331551,40.13626570931882,10.053401153399783,195,44.651846208266456,111869.56238921978,15,8.0,11.0
breakout_15_sl8_tr11,breakout_sensitivity,True,test,5.0,2024-07-01,2026-07-31,6.818693828938582,3.22083448876771,6.547533174201312,0.5182373834722512,0.6839655407657602,-9.294172676800038,0.34654343111221764,1.242350497931721,0.37826330532890096,31.11111111111111,5.8059684166360475,-2.0729583578420687,30.52835119272061,-8.78395346130839,93,90,3.72,2,86.61567877629062,40.828485182287565,13.180303768536833,219,40.15835193906074,106818.69382893859,15,8.0,11.0
breakout_15_sl8_tr11,breakout_sensitivity,True,full,5.0,2020-01-02,2026-07-31,31.05913685648103,4.198580672019525,6.643108736755339,0.654063634159436,0.8722433381480837,-9.340692442154364,0.44949351432142354,1.5359205548618982,0.745145032598827,40.25423728813559,5.113784548809665,-2.19826457052195,30.52835119272059,-8.783953461308396,239,236,3.0253164556962027,10,81.66969147005445,38.26745817440704,10.892600790407483,720,153.31637843336728,131059.13685648103,15,8.0,11.0
breakout_20_sl6_tr9,breakout_sensitivity,True,train,5.0,2020-01-02,2022-12-30,11.21388514949535,3.615501425618528,7.014153567226806,0.5402975539196926,0.7042141774399621,-9.000846730141332,0.4016845896854592,1.4624151074848046,0.8152644851372878,43.47826086956522,5.458291712594145,-2.7562949205987555,25.949134984341228,-8.387822146018873,92,92,2.5555555555555554,6,78.3068783068783,34.71606889053949,9.279133190263817,276,23.99457443201087,111213.88514949534,20,6.0,9.0
breakout_20_sl6_tr9,breakout_sensitivity,True,validation,5.0,2023-01-03,2024-06-28,12.22140117940629,8.07990677557413,5.388045394956317,1.4690048839940484,2.2431774232815442,-3.2278914466382203,2.5031531912230753,3.496805581874431,1.8024542046213343,53.84615384615385,4.695885390567194,-1.5732155123155023,14.241130756297338,-3.6624561348869524,43,39,2.388888888888889,4,74.8663101604278,36.9359745335825,8.278507739556089,174,44.651846208266456,112221.40117940628,20,6.0,9.0
breakout_20_sl6_tr9,breakout_sensitivity,True,test,5.0,2024-07-01,2026-07-31,5.224209668461288,2.4774710606895844,6.2075654758924665,0.4263779423511242,0.5585204312567014,-8.448856712710773,0.2932315158052551,1.1707423408009356,0.27361905223142136,32.94117647058823,5.296067799915204,-2.1935487536483307,30.528351192720613,-10.410632846750946,88,85,3.52,2,86.04206500956023,38.85906538378361,12.478978252029469,203,40.15835193906074,105224.20966846129,20,6.0,9.0
breakout_20_sl6_tr9,breakout_sensitivity,True,full,5.0,2020-01-02,2026-07-31,33.31849337174402,4.469746667390928,6.4328950095626976,0.7138078962454631,0.9534396292453746,-9.000846730141332,0.496591798683005,1.603954255401298,0.8636857610841503,42.592592592592595,5.169060701506855,-2.3306246785843068,30.52835119272061,-10.410632846750943,219,216,2.7721518987341773,12,80.09679370840895,36.6482323693464,10.00238294474235,649,153.31637843336728,133318.49337174403,20,6.0,9.0
